Time,L_Hip,L_Knee,L_Ankle,R_Hip,R_Knee,R_Ankle
2.72,160.91,163.6,99.49,175.3,178.83,115.69
2.74,160.75,163.52,99.33,175.55,179.16,116.18
2.76,161.0,163.8,98.95,175.73,178.72,116.57
2.78,161.39,164.17,98.88,176.01,178.27,116.96
2.8,161.99,164.74,98.85,176.17,177.88,117.36
2.82,162.94,165.5,98.99,176.42,177.36,117.84
2.84,164.16,166.42,99.11,176.62,176.9,117.72
2.86,165.46,167.36,99.36,176.64,176.48,116.14
2.88,167.04,168.63,99.54,176.81,175.97,114.51
2.9,168.83,170.17,99.9,176.97,175.52,112.91
2.92,170.62,171.72,100.21,177.05,175.06,111.37
2.94,172.57,173.48,100.62,177.12,174.68,109.9
2.96,174.66,175.35,101.12,177.4,174.32,108.52
2.98,176.78,177.16,101.72,177.54,173.97,107.04
3.0,168.98,178.97,119.99,177.69,173.62,105.53
3.02,169.35,178.28,119.11,177.9,173.23,103.94
3.04,169.72,177.44,118.17,177.99,172.87,102.36
3.06,170.04,176.6,117.42,178.08,172.45,100.67
3.08,170.38,175.8,116.61,178.15,171.99,99.19
3.1,170.65,174.99,115.78,178.3,171.62,97.65
3.12,171.03,174.08,115.1,178.39,171.27,96.06
3.14,171.36,173.13,114.41,178.59,170.77,94.51
3.16,171.61,173.21,113.46,178.74,170.28,92.95
3.18,171.9,173.58,112.68,178.88,169.93,91.35
3.2,172.27,173.94,112.2,179.01,169.4,89.87
3.22,172.55,174.32,112.36,179.06,169.0,88.3
3.24,172.83,174.73,112.59,177.81,176.41,90.91
3.26,173.28,174.98,112.93,176.11,173.18,94.84
3.28,173.59,175.26,113.12,174.49,169.95,98.5
3.3,173.85,175.69,113.39,172.84,166.78,101.98
3.32,174.09,175.99,113.51,171.42,163.84,105.36
3.34,174.35,176.33,113.76,170.07,161.05,108.38
3.36,174.53,176.67,114.1,168.79,158.58,111.06
3.38,174.83,177.15,114.32,167.64,156.39,113.44
3.4,175.0,177.4,114.51,166.89,154.63,115.29
3.42,175.21,177.75,114.85,166.14,153.19,116.72
3.44,175.43,178.2,115.06,165.55,152.12,117.73
3.46,175.52,178.61,115.08,165.15,151.4,118.16
3.48,175.69,178.93,115.37,165.0,151.07,117.9
3.5,175.98,178.88,115.67,165.02,151.19,117.28
3.52,176.28,178.71,115.95,165.23,151.57,116.06
3.54,176.55,178.43,116.27,165.63,152.42,114.3
3.56,176.9,178.04,116.66,166.33,153.63,112.07
3.58,177.05,177.76,117.0,167.12,155.21,109.64
3.6,177.17,177.41,116.66,168.09,157.04,106.7
3.62,177.31,177.0,116.11,169.27,159.27,103.43
3.64,177.26,176.5,115.59,170.54,161.83,99.87
3.66,177.29,176.2,115.11,171.87,164.62,96.15
3.68,177.43,175.76,114.62,173.26,167.53,92.3
3.7,177.44,175.45,114.08,174.68,170.7,95.6
3.72,177.57,175.15,113.61,176.17,174.0,92.66
3.74,177.75,174.81,113.13,177.87,177.34,89.6
3.76,177.82,174.48,112.53,167.9,178.46,121.47
3.78,177.98,174.24,111.93,168.31,177.44,120.28
3.8,178.23,173.87,111.37,168.73,176.34,119.08
3.82,178.34,173.52,110.74,169.17,175.24,117.8
3.84,178.42,173.3,110.23,169.54,174.15,116.58
3.86,178.64,172.99,109.75,169.81,172.98,115.34
3.88,178.73,172.6,109.25,170.22,171.91,114.0
3.9,178.79,172.23,108.83,170.5,171.09,112.69
3.92,178.81,171.82,108.36,170.86,171.52,111.5
3.94,178.92,171.51,107.82,171.21,171.96,110.32
3.96,179.03,171.16,107.26,171.59,172.5,110.29
3.98,178.48,178.46,106.76,171.88,172.82,110.78
4.0,176.44,176.65,105.91,172.24,173.33,111.16
4.02,174.35,174.87,105.2,172.4,173.82,111.56
4.04,172.3,173.13,104.4,172.68,174.25,111.93
4.06,170.25,171.44,103.8,173.01,174.67,112.34
4.08,168.48,169.83,103.0,173.39,175.29,112.72
4.1,166.61,168.45,102.4,173.64,175.77,113.18
4.12,165.12,167.17,101.85,174.0,176.13,113.52
4.14,163.76,166.02,101.35,174.18,176.72,113.97
4.16,162.73,165.17,100.84,174.4,177.14,114.38
4.18,161.93,164.5,100.34,174.55,177.62,114.9
4.2,161.46,163.96,99.9,174.9,178.1,115.39
4.22,161.0,163.62,99.52,175.13,178.64,115.78
4.24,161.08,163.52,99.24,175.44,178.97,116.15
4.26,161.25,163.62,99.05,175.69,178.57,116.55
4.28,161.57,163.91,98.98,175.9,178.05,116.85
4.3,162.21,164.48,99.03,176.05,177.66,117.29
4.32,163.26,165.31,98.95,176.31,177.25,117.74
4.34,164.24,166.3,99.19,176.43,176.78,117.68
4.36,165.57,167.47,99.31,176.67,176.37,116.2
4.38,167.12,168.88,99.6,176.86,176.05,114.63
4.4,168.79,170.4,99.84,177.01,175.59,112.93
4.42,170.59,171.94,100.33,177.16,175.24,111.34
4.44,172.51,173.64,100.58,177.34,174.81,109.73
4.46,174.57,175.37,101.11,177.45,174.38,108.0
4.48,176.75,177.13,101.6,177.61,173.96,106.55
4.5,168.95,178.96,119.95,177.77,173.63,105.18
4.52,169.37,178.29,119.15,177.75,173.19,103.71
4.54,169.8,177.46,118.33,177.82,172.88,102.15
4.56,170.1,176.66,117.45,177.96,172.5,100.73
4.58,170.44,175.89,116.67,178.14,172.07,99.14
4.6,170.66,174.99,115.98,178.2,171.58,97.43
4.62,170.89,173.99,115.11,178.41,171.16,95.93
4.64,171.14,173.14,114.4,178.62,170.73,94.51
4.66,171.55,173.04,113.61,178.73,170.38,92.95
4.68,171.88,173.46,112.88,178.67,170.0,91.47
4.7,172.29,173.84,112.1,178.77,169.65,90.08
4.72,172.7,174.26,112.37,178.86,169.2,88.6
4.74,173.01,174.68,112.49,177.65,176.55,91.29
4.76,173.26,175.04,112.6,176.09,173.16,95.19
4.78,173.49,175.29,112.76,174.56,169.93,99.09
4.8,173.79,175.65,113.13,172.99,166.77,102.57
4.82,174.0,176.06,113.36,171.56,163.91,105.78
4.84,174.3,176.39,113.71,170.24,161.18,108.67
4.86,174.57,176.81,114.3,168.89,158.75,111.38
4.88,174.88,177.19,114.53,167.77,156.6,113.52
4.9,175.04,177.56,114.81,166.97,154.69,115.31
4.92,175.28,177.88,115.04,166.23,153.25,116.69
4.94,175.47,178.16,115.32,165.55,152.14,117.61
4.96,175.52,178.5,115.38,165.19,151.32,118.0
4.98,175.69,178.8,115.62,165.11,150.94,117.82
5.0,175.97,178.72,115.96,165.15,151.08,117.23
5.02,176.18,178.36,116.33,165.34,151.44,116.13
5.04,176.32,178.19,116.57,165.79,152.33,114.29
5.06,176.62,177.86,116.7,166.45,153.67,112.2
5.08,176.66,177.51,116.96,167.13,155.26,109.64
5.1,176.86,177.17,116.7,168.06,157.2,106.7
5.12,176.94,176.89,116.1,169.11,159.44,103.46
5.14,177.27,176.52,115.64,170.44,162.0,99.98
5.16,177.48,176.17,115.36,171.75,164.68,96.17
5.18,177.69,175.84,114.88,173.36,167.64,92.22
5.2,177.68,175.55,114.15,174.93,170.76,95.46
5.22,177.88,175.14,113.51,176.57,174.05,92.45
5.24,177.87,174.72,112.97,178.25,177.27,89.43
5.26,177.94,174.4,112.32,168.35,178.39,121.24
5.28,178.06,174.14,111.81,168.69,177.3,120.09
5.3,178.13,173.81,111.27,168.98,176.21,118.81
5.32,178.07,173.51,110.89,169.38,175.14,117.44
5.34,178.22,173.19,110.33,169.66,174.03,116.23
5.36,178.27,172.87,109.89,169.9,173.06,115.01
5.38,178.35,172.55,109.3,170.28,172.05,113.87
5.4,178.57,172.2,108.93,170.67,171.22,112.72
5.42,178.84,171.92,108.4,170.89,171.58,111.56
5.44,178.89,171.64,107.78,171.23,172.08,110.29
5.46,178.98,171.33,107.25,171.58,172.51,110.4
5.48,178.56,178.63,106.74,171.81,172.9,110.79
5.5,176.3,176.71,105.91,172.11,173.36,111.22
5.52,174.14,174.88,105.28,172.59,173.95,111.66
5.54,172.15,173.11,104.62,172.94,174.39,112.07
5.56,170.27,171.46,103.91,173.27,174.79,112.47
5.58,168.32,169.84,103.15,173.55,175.28,112.82
5.6,166.69,168.45,102.54,173.85,175.68,113.21
5.62,165.14,167.14,101.85,174.08,176.08,113.57
5.64,163.82,166.04,101.28,174.26,176.71,113.97
5.66,162.73,165.12,100.66,174.53,177.25,114.31
5.68,162.08,164.41,100.36,174.83,177.63,114.77
5.7,161.49,163.95,99.84,175.15,178.19,115.25
5.72,161.16,163.68,99.46,175.45,178.66,115.74
5.74,161.12,163.57,99.25,175.69,178.91,116.11
5.76,161.27,163.65,99.1,175.92,178.52,116.63
5.78,161.68,164.06,98.8,176.06,178.12,116.99
5.8,162.38,164.61,98.7,176.22,177.77,117.37
5.82,163.25,165.48,98.8,176.33,177.38,117.66
5.84,164.25,166.43,98.85,176.5,176.99,117.66
5.86,165.48,167.61,99.26,176.65,176.53,116.07
5.88,166.98,168.88,99.53,176.74,176.21,114.46
5.9,168.74,170.29,99.92,176.78,175.72,112.93
5.92,170.75,171.78,100.21,176.96,175.31,111.51
5.94,172.84,173.52,100.7,177.16,174.84,109.96
5.96,175.05,175.4,100.99,177.27,174.41,108.48
5.98,177.1,177.24,101.63,177.47,173.98,107.01
6.0,169.12,179.08,119.93,177.64,173.56,105.49
6.02,169.4,178.27,119.06,177.8,173.1,103.75
6.04,169.71,177.35,118.12,177.95,172.7,102.36
6.06,169.98,176.4,117.19,178.08,172.36,100.82
6.08,170.36,175.59,116.3,178.33,171.9,99.28
6.1,170.78,174.85,115.52,178.5,171.5,97.58
6.12,171.13,174.06,114.75,178.55,171.13,96.19
6.14,171.5,173.31,114.11,178.61,170.67,94.43
6.16,171.84,173.29,113.5,178.64,170.17,92.83
6.18,172.18,173.61,112.69,178.67,169.8,91.33
6.2,172.5,173.88,112.05,178.81,169.36,89.85
6.22,172.71,174.2,112.31,178.98,168.99,88.36
6.24,172.98,174.52,112.45,177.83,176.5,91.06
6.26,173.17,174.86,112.6,176.23,173.27,94.98
6.28,173.47,175.2,112.83,174.69,170.1,98.74
6.3,173.65,175.62,113.16,173.07,167.03,102.3
6.32,173.97,176.04,113.42,171.65,164.09,105.64
6.34,174.15,176.39,113.68,170.22,161.32,108.62
6.36,174.52,176.68,113.99,169.05,158.93,111.17
6.38,174.71,177.07,114.31,167.97,156.77,113.53
6.4,174.93,177.4,114.55,167.05,154.93,115.56
6.42,175.18,177.68,114.9,166.24,153.42,116.87
6.44,175.42,178.07,115.14,165.74,152.37,117.87
6.46,175.66,178.49,115.28,165.32,151.52,118.31
6.48,175.87,178.87,115.54,165.01,151.07,118.05
6.5,176.19,178.84,115.8,165.15,151.15,117.21
6.52,176.31,178.41,116.0,165.34,151.59,116.12
6.54,176.49,178.09,116.17,165.7,152.38,114.29
6.56,176.6,177.78,116.61,166.38,153.58,112.2
6.58,176.82,177.39,116.89,167.21,155.12,109.64
6.6,177.05,177.1,116.52,168.02,157.03,106.74
6.62,177.22,176.83,115.9,169.17,159.3,103.46
6.64,177.46,176.51,115.64,170.34,161.81,99.98
6.66,177.5,176.2,114.99,171.65,164.66,96.2
6.68,177.52,175.89,114.39,173.18,167.68,92.43
6.7,177.5,175.4,113.83,174.78,170.76,95.83
6.72,177.59,175.08,113.39,176.32,173.98,92.79
6.74,177.56,174.8,112.76,178.15,177.31,89.68
6.76,177.81,174.43,112.34,168.18,178.41,121.51
6.78,177.97,174.09,111.79,168.6,177.31,120.22
6.8,178.14,173.89,111.32,168.95,176.31,118.92
6.82,178.35,173.56,110.86,169.34,175.3,117.59
6.84,178.54,173.17,110.42,169.62,174.21,116.44
6.86,178.64,172.86,109.77,169.95,173.13,115.24
6.88,178.74,172.6,109.4,170.17,172.03,113.91
6.9,178.73,172.34,108.98,170.6,171.22,112.61
6.92,178.83,172.06,108.51,170.95,171.65,111.41
6.94,178.86,171.81,107.93,171.17,172.15,110.13
6.96,178.85,171.45,107.36,171.58,172.57,110.23
6.98,178.36,178.66,106.71,171.94,172.96,110.75
7.0,176.23,176.71,106.01,172.15,173.36,111.17
7.02,174.04,174.87,105.14,172.41,173.77,111.62
7.04,172.06,173.01,104.38,172.89,174.16,112.01
7.06,170.19,171.36,103.8,173.06,174.64,112.34
7.08,168.33,169.86,102.95,173.38,175.21,112.77
7.1,166.69,168.44,102.33,173.74,175.67,113.29
7.12,165.29,167.18,101.72,174.12,176.12,113.69
7.14,164.01,166.12,101.21,174.3,176.6,114.21
7.16,163.03,165.18,100.7,174.55,177.11,114.65
7.18,162.3,164.41,100.5,174.76,177.57,114.99
7.2,161.79,163.83,100.03,174.96,178.05,115.46
7.22,161.3,163.58,99.74,175.14,178.54,115.89
7.24,161.21,163.48,99.39,175.38,178.94,116.16
7.26,161.26,163.63,99.25,175.72,178.5,116.61
7.28,161.57,163.97,98.94,176.02,178.0,117.18
7.3,162.18,164.73,98.91,176.16,177.65,117.46
7.32,163.22,165.38,98.88,176.5,177.32,117.82
7.34,164.34,166.34,99.11,176.72,176.85,117.78
7.36,165.63,167.52,99.24,176.86,176.38,116.19
7.38,167.24,168.91,99.63,177.04,176.08,114.61
7.4,168.9,170.29,99.91,177.39,175.59,113.11
7.42,170.71,172.01,100.24,177.36,175.14,111.6
7.44,172.63,173.74,100.55,177.46,174.69,110.16
7.46,174.72,175.45,101.08,177.49,174.27,108.56
7.48,176.84,177.24,101.6,177.58,173.94,107.01
7.5,168.97,179.06,119.96,177.61,173.53,105.42
7.52,169.4,178.25,119.27,177.81,173.16,103.9
7.54,169.65,177.34,118.45,177.91,172.84,102.27
7.56,169.96,176.62,117.54,178.04,172.4,100.75
7.58,170.27,175.82,116.71,178.16,171.95,99.13
7.6,170.69,175.02,115.68,178.33,171.58,97.68
7.62,170.9,174.11,114.94,178.41,171.1,96.08
7.64,171.32,173.31,114.2,178.56,170.68,94.51
7.66,171.69,173.28,113.5,178.69,170.36,93.09
7.68,171.98,173.65,112.58,178.79,169.96,91.63
7.7,172.33,174.01,112.24,178.8,169.6,89.88
7.72,172.69,174.36,112.53,178.88,169.22,88.35
7.74,173.04,174.73,112.69,177.59,176.55,90.86
7.76,173.26,174.98,112.91,176.0,173.2,94.59
7.78,173.56,175.33,113.27,174.38,170.06,98.13
7.8,173.74,175.66,113.35,172.78,166.94,101.85
7.82,173.91,175.97,113.51,171.34,164.09,105.16
7.84,174.15,176.33,113.89,170.02,161.5,108.3
7.86,174.44,176.73,114.07,168.76,159.07,110.95
7.88,174.73,176.98,114.39,167.75,156.8,113.41
7.9,174.93,177.27,114.64,166.85,154.92,115.24
7.92,175.32,177.62,114.78,166.08,153.26,116.75
7.94,175.48,177.98,114.99,165.47,152.07,117.69
7.96,175.75,178.31,115.29,165.24,151.37,118.18
7.98,175.97,178.66,115.43,165.01,150.98,117.99
8.0,176.2,178.71,115.84,165.03,151.05,117.44
8.02,176.34,178.49,116.21,165.34,151.6,116.09
8.04,176.51,178.14,116.51,165.82,152.41,114.26
8.06,176.76,177.86,116.76,166.36,153.57,112.09
8.08,176.89,177.62,117.1,167.1,155.14,109.69
8.1,177.05,177.26,116.7,168.08,157.01,106.65
8.12,177.14,176.84,116.28,169.16,159.17,103.49
8.14,177.4,176.59,115.67,170.38,161.69,99.97
8.16,177.43,176.23,115.29,171.85,164.53,96.32
8.18,177.52,175.82,114.74,173.29,167.51,92.39
8.2,177.67,175.47,114.17,174.97,170.68,95.72
8.22,177.74,175.24,113.62,176.57,173.97,92.68
8.24,177.91,174.98,113.16,178.28,177.38,89.63
8.26,178.02,174.62,112.57,168.24,178.5,121.33
8.28,178.21,174.38,112.13,168.63,177.48,120.06
8.3,178.34,174.0,111.72,168.95,176.39,118.72
8.32,178.44,173.65,111.09,169.17,175.31,117.46
8.34,178.43,173.15,110.63,169.47,174.12,116.24
8.36,178.59,172.81,110.07,169.73,173.05,115.06
8.38,178.62,172.42,109.52,170.04,171.89,113.79
8.4,178.75,172.11,108.86,170.33,171.1,112.65
8.42,178.95,171.72,108.41,170.82,171.63,111.49
8.44,179.07,171.49,107.8,171.23,172.12,110.26
8.46,179.08,171.26,107.38,171.61,172.55,110.3
8.48,178.55,178.61,106.8,171.97,173.08,110.69
8.5,176.31,176.83,106.18,172.31,173.59,111.08
8.52,174.15,175.07,105.43,172.61,174.0,111.49
8.54,172.09,173.23,104.67,172.93,174.44,111.83
8.56,170.06,171.57,103.95,173.26,174.85,112.29
8.58,168.3,169.96,103.35,173.58,175.29,112.71
8.6,166.69,168.5,102.7,173.8,175.7,113.12
8.62,165.17,167.27,102.16,174.04,176.17,113.58
8.64,163.92,166.23,101.62,174.24,176.61,114.13
8.66,162.99,165.17,100.96,174.44,177.12,114.48
8.68,162.22,164.43,100.39,174.71,177.66,114.92
8.7,161.59,163.93,100.0,175.04,178.15,115.38
8.72,161.31,163.55,99.55,175.3,178.65,115.77
8.74,161.23,163.45,99.35,175.56,179.11,116.09
8.76,161.44,163.69,99.23,175.8,178.7,116.45
8.78,161.72,164.12,99.04,175.98,178.25,116.77
8.8,162.39,164.64,99.0,176.1,177.83,117.13
8.82,163.22,165.42,99.1,176.21,177.39,117.5
8.84,164.29,166.38,99.18,176.36,176.92,117.52
8.86,165.59,167.54,99.4,176.56,176.49,116.05
8.88,167.14,168.85,99.62,176.72,176.05,114.7
8.9,168.86,170.3,99.93,176.92,175.61,113.11
8.92,170.62,171.94,100.18,177.19,175.23,111.64
8.94,172.64,173.65,100.54,177.4,174.87,110.01
8.96,174.63,175.34,100.93,177.47,174.5,108.5
8.98,176.8,177.11,101.5,177.69,174.13,106.8
9.0,168.92,178.93,119.74,177.89,173.73,105.32
9.02,169.44,178.05,118.97,177.94,173.26,103.6
9.04,169.53,177.29,118.27,177.99,172.82,102.08
9.06,169.89,176.47,117.47,178.22,172.37,100.52
9.08,170.21,175.69,116.61,178.28,171.84,99.04
9.1,170.53,174.88,115.89,178.22,171.48,97.43
9.12,170.89,174.06,115.03,178.31,171.13,96.05
9.14,171.32,173.12,114.16,178.44,170.75,94.52
9.16,171.69,173.13,113.38,178.42,170.39,92.93
9.18,172.03,173.47,112.67,178.51,170.03,91.42
9.2,172.43,173.87,112.11,178.72,169.59,90.09
9.22,172.61,174.25,112.45,178.96,169.17,88.57
9.24,172.91,174.61,112.66,177.73,176.53,91.21
9.26,173.23,175.02,113.02,176.18,173.13,95.15
9.28,173.52,175.39,113.27,174.66,170.0,98.94
9.3,173.64,175.73,113.46,173.18,166.86,102.25
9.32,173.93,176.07,113.74,171.66,163.97,105.49
9.34,174.26,176.45,114.07,170.22,161.19,108.44
9.36,174.5,176.76,114.21,168.96,158.81,110.99
9.38,174.69,177.13,114.61,167.86,156.62,113.2
9.4,174.86,177.39,114.86,166.86,154.8,115.06
9.42,175.16,177.72,115.04,166.19,153.26,116.46
9.44,175.3,178.08,115.29,165.76,152.22,117.4
9.46,175.36,178.44,115.58,165.4,151.52,117.92
9.48,175.45,178.82,115.6,165.22,151.06,117.84
9.5,175.86,178.79,115.75,165.27,151.14,117.22
9.52,176.04,178.46,115.99,165.28,151.56,115.93
9.54,176.28,178.12,116.15,165.64,152.39,114.11
9.56,176.65,177.75,116.31,166.28,153.51,111.86
9.58,177.01,177.35,116.69,166.98,155.15,109.24
9.6,177.22,177.09,116.43,167.91,157.04,106.37
9.62,177.29,176.74,115.87,169.11,159.28,103.18
9.64,177.45,176.45,115.46,170.48,161.84,99.79
9.66,177.42,176.09,115.02,171.89,164.55,96.13
9.68,177.51,175.75,114.38,173.37,167.56,92.32
9.7,177.53,175.37,113.97,174.96,170.68,95.68
9.72,177.77,175.16,113.59,176.6,173.93,92.65
9.74,177.88,174.8,113.13,178.21,177.22,89.56
9.76,178.12,174.45,112.64,168.16,178.36,121.41
9.78,178.27,174.06,112.36,168.6,177.25,120.16
9.8,178.51,173.75,111.78,168.96,176.11,118.91
9.82,178.55,173.38,111.22,169.5,175.08,117.8
9.84,178.58,173.08,110.63,169.77,173.94,116.49
9.86,178.65,172.85,110.04,170.0,172.89,115.25
9.88,178.65,172.66,109.49,170.29,171.81,114.05
9.9,178.69,172.31,108.92,170.53,171.03,112.76
9.92,178.77,171.99,108.34,170.65,171.48,111.51
9.94,178.87,171.58,107.94,170.98,171.93,110.35
